,fr_w,nmot_w,rl_w,nearest_rpm,nearest_load,weight
2168,1.0,1971.0,14.4609,1750.0,12.5,0.004465065107346863
2169,1.0,1986.5,14.2734,1750.0,12.5,0.004179319556624346
2170,1.02002,1954.5,13.9688,1750.0,12.5,0.004831646122507354
2171,1.09399,1912.75,13.9453,1750.0,12.5,0.006053440987727859
2172,1.18314,1868.25,14.0391,1750.0,12.5,0.0082788927146572
2173,1.23096,1861.0,14.0625,1750.0,12.5,0.008805723720418272
2174,1.27539,1881.25,13.9922,1750.0,12.5,0.007477071560061073
2175,1.27539,1894.0,13.7344,1750.0,12.5,0.006838336260141253
2176,1.27539,1865.25,13.5703,1750.0,12.5,0.008523674078569523
2177,1.27539,1824.5,13.5703,1750.0,12.5,0.013059893979780671
2178,1.22461,1792.5,13.6875,1750.0,12.5,0.022377622377622378
2179,1.22461,1763.75,13.8281,1750.0,12.5,0.06219640380393206
2180,1.22461,1729.5,13.9453,1750.0,12.5,0.043581910020788574
2181,1.22461,1673.25,13.9453,1750.0,12.5,0.01262701195651762
2182,1.22461,1603.75,14.0156,1500.0,12.5,0.00941038304023127
2183,1.27539,1546.5,13.9688,1500.0,12.5,0.0204211661302707
2184,1.27539,1493.5,13.8516,1500.0,12.5,0.11297392561796737
2185,1.27539,1458.25,13.8281,1500.0,12.5,0.02268700329642158
2186,1.24747,1416.75,13.875,1500.0,12.5,0.01167883211678832
2187,1.24707,1365.5,13.875,1500.0,12.5,0.0073059360730593605
2188,1.24475,1338.25,13.7813,1500.0,12.5,0.006096397455851414
2189,1.18485,1312.25,13.8047,1500.0,12.5,0.00526164309538254
2190,1.173,1287.0,13.7813,1500.0,12.5,0.004645085290733566
2191,1.16138,1262.25,13.7578,1500.0,12.5,0.004166531254400899
2192,1.14871,1239.0,13.7813,1000.0,12.5,0.0041445400037217976
2193,1.13806,1218.5,13.7813,1000.0,12.5,0.004529369108706218
2194,1.12763,1190.0,13.6875,1000.0,12.5,0.005203252032520325
2195,1.17017,1166.75,13.5469,1000.0,12.5,0.0059242794150840454
2196,1.15994,1139.25,13.4766,1000.0,12.5,0.007080819052501441
2197,1.15048,1108.25,13.5,1000.0,12.5,0.009070294784580499
2198,1.14179,1078.0,13.6406,1000.0,12.5,0.012478069792339962
2199,1.13199,1055.75,13.8516,1000.0,12.5,0.01721122998333953
2200,1.12317,1042.5,14.1797,1000.0,12.5,0.022133834443345133
2201,1.06366,1010.25,14.7188,1000.0,12.5,0.07424566405321929
2202,1.05426,995.75,15.2813,1000.0,17.5,0.13389210973797314
2203,1.04715,979.25,15.5859,1000.0,17.5,0.04225810404790379
2204,1.04169,962.0,16.1016,1000.0,17.5,0.024753455582399306
2205,1.03531,956.5,16.5469,1000.0,17.5,0.022000699622247988
2206,1.02863,955.5,16.6406,1000.0,17.5,0.02157059841154113
2207,1.07486,936.25,16.8516,1000.0,17.5,0.015290893966824877
2208,1.07044,922.75,16.9453,1000.0,17.5,0.012689598463035835
2209,1.06751,907.0,16.9453,1000.0,17.5,0.010575888877020392
2210,1.06403,897.5,16.9453,1000.0,17.5,0.009610329951458224
2211,1.06165,884.5,16.9219,1000.0,17.5,0.008541307042051416
2212,1.0585,874.25,16.9453,1000.0,17.5,0.007855169526341133
2213,1.00668,854.75,16.9922,1000.0,17.5,0.006813947878749886
